0 10 353 0 1 1 0 0 1 1 1 1 0
1 10 338 1 0 1 0 1 0 1 0 1 1
2 10 471 1 1 0 1 1 1 1 0 0 1
3 10 398 1 1 1 1 0 1 1 1 0 0
4 10 424 1 1 0 0 0 1 1 0 1 1
5 10 360 0 1 0 1 1 0 1 1 1 1
6 10 361 1 1 0 1 0 1 0 1 0 1
7 10 419 1 1 1 0 1 1 1 0 0 1
8 10 343 0 0 1 1 0 1 1 0 1 1
9 10 333 1 1 1 0 1 1 1 0 0 0
10 10 372 1 0 1 1 1 1 0 0 1 0
11 10 485 1 1 1 0 0 1 1 0 1 0
12 10 351 1 0 1 1 1 0 0 1 1 1
13 10 273 0 1 0 1 1 0 1 1 0 1
14 10 248 1 1 1 0 1 1 0 0 0 1
15 10 419 1 1 0 0 1 0 1 1 1 0
16 10 450 0 1 1 1 1 1 0 1 0 1
17 10 406 1 1 0 1 1 0 1 0 1 0
18 10 355 1 0 0 1 1 0 0 0 1 1
19 10 434 1 0 1 0 1 0 1 1 1 0
