0 20 948 0 1 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1
1 20 837 0 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 1
2 20 865 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1 1 1 0 1 0
3 20 842 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 0 1
4 20 793 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1
5 20 788 1 1 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 0
6 20 632 0 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0
7 20 739 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0
8 20 1002 0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1
9 20 780 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 0 0
10 20 924 1 1 1 0 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1
11 20 912 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0
12 20 710 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1
13 20 832 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0
14 20 924 0 0 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1
15 20 909 0 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1
16 20 1021 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1
17 20 851 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 0 1 1
18 20 1021 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1
19 20 890 0 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 0 0 1
