0 5 171 48 22 27 32 72 95 99 87 97 67
1 5 103 74 68 7 18 50 65 34 75 41 40
2 5 136 98 34 100 23 21 100 48 2 5 11
3 5 121 54 4 33 32 88 4 26 86 42 75
4 5 111 52 67 42 11 84 44 27 69 18 67
5 5 120 8 67 7 90 73 7 89 74 63 100
6 5 139 79 66 32 10 53 87 35 38 80 9
7 5 135 42 47 3 52 30 98 99 15 96 58
8 5 132 33 47 65 74 19 23 63 44 85 62
9 5 75 22 50 45 83 55 31 18 92 10 78
10 5 157 85 8 80 88 90 29 17 88 43 12
11 5 108 97 28 59 61 1 29 35 63 25 19
12 5 123 76 98 21 20 81 75 2 50 66 12
13 5 161 27 51 71 59 38 60 87 55 99 82
14 5 58 18 96 9 28 8 9 57 43 24 33
15 5 114 61 99 30 81 71 62 55 72 11 73
16 5 146 35 38 75 6 96 64 17 34 70 16
17 5 94 15 88 11 23 67 18 84 75 12 59
18 5 85 7 25 57 89 5 79 50 12 51 61
19 5 91 36 37 50 62 42 97 25 59 30 47
