0 25 668 48 22 27 32 72 95 99 87 97 67 74 68 7 18 50 65 34 75 41 40 98 34 100 23 21 100 2 5 11 54 4 33 32 88 26 86 42 75 52 67 84 44 69 18 67 8 90 73 89 74
1 25 668 63 100 79 66 32 10 53 87 35 38 80 9 42 47 3 52 30 98 99 15 96 58 33 47 65 74 19 23 44 85 62 22 50 45 83 55 31 18 92 10 78 85 8 80 88 90 29 17 43 12
2 25 599 97 28 59 61 1 29 35 63 25 19 76 98 21 20 81 75 2 50 66 12 27 51 71 59 38 60 87 55 99 82 18 96 9 28 8 9 57 43 24 33 61 99 30 81 62 55 72 11 73 35
3 25 594 38 75 6 96 64 17 34 70 16 15 88 11 23 67 18 84 75 12 59 7 25 57 89 5 79 50 12 51 61 36 37 50 62 42 97 25 30 47 26 45 86 88 19 52 57 2 27 69 60 85
4 25 727 93 69 73 49 47 23 12 49 83 47 86 84 60 79 80 85 89 9 14 53 68 1 72 71 58 25 97 78 37 34 70 57 6 18 55 28 30 4 62 28 41 45 88 19 24 24 85 6 25 89
5 25 586 25 26 12 95 35 37 44 12 77 33 81 82 50 35 62 31 90 75 11 30 72 50 1 47 73 12 31 30 36 20 54 13 47 19 95 10 43 71 42 75 5 44 18 74 51 44 33 15 85 85
6 25 728 62 9 96 44 38 83 63 43 46 95 94 64 89 4 59 12 45 33 68 88 37 14 97 80 1 81 95 86 17 8 64 51 84 46 66 78 41 11 72 35 26 61 90 84 24 86 69 91 14 27
7 25 640 39 62 58 91 94 52 76 10 59 22 73 62 57 71 27 34 63 37 6 97 62 18 38 98 41 24 18 83 49 83 61 39 97 18 29 90 70 57 52 80 78 24 34 94 67 67 9 55 24 5
8 25 601 69 41 95 18 33 18 35 15 66 17 75 4 13 93 84 55 14 40 6 45 81 38 54 27 56 73 11 96 91 31 89 85 48 21 2 82 36 19 50 62 74 15 58 21 19 49 26 64 18 6
9 25 618 1 71 32 56 95 66 18 91 9 48 79 93 99 95 28 86 65 30 48 39 96 53 16 72 41 87 13 98 39 36 30 94 47 64 72 55 11 2 58 53 94 37 38 58 37 48 90 95 80 13
10 25 651 91 20 51 3 18 89 90 99 34 72 97 97 43 4 60 97 3 69 49 48 57 38 27 27 39 68 19 80 41 90 82 96 59 70 85 9 55 8 58 4 13 63 99 15 83 99 14 91 36 22
11 25 690 17 14 78 8 81 29 12 21 67 93 16 78 14 53 86 69 60 95 72 62 7 86 73 20 10 38 98 60 79 11 89 86 92 69 63 55 90 81 48 57 61 61 21 42 52 34 49 89 46 21
12 25 572 8 7 59 70 4 70 48 67 58 85 10 79 99 64 68 79 11 76 41 24 37 88 57 29 42 77 96 39 50 56 46 60 25 1 81 72 67 38 56 76 6 40 35 84 2 11 76 77 63 33
13 25 538 7 92 40 48 20 87 39 69 42 84 80 18 36 60 89 3 50 96 30 17 1 21 4 37 75 66 12 51 64 75 83 70 18 74 17 37 13 55 6 54 90 37 72 78 97 12 32 46 60 61
14 25 608 14 12 34 17 8 82 64 58 97 38 93 66 7 18 35 43 30 41 36 31 37 59 60 85 22 91 82 81 51 95 45 84 44 43 1 94 96 45 59 2 31 16 84 41 75 68 62 65 49 95
15 25 706 67 96 39 3 59 34 45 55 93 97 48 88 41 59 42 55 51 38 50 36 85 32 3 69 72 29 36 33 79 64 32 69 66 90 62 44 95 59 44 34 2 27 57 4 64 6 92 49 89 46
16 25 558 69 60 75 4 45 71 40 23 86 71 92 51 60 94 65 56 23 99 25 73 52 52 30 55 15 87 98 15 28 44 35 87 70 39 31 40 54 26 1 97 12 90 19 81 66 69 5 39 20 56
17 25 501 20 27 23 58 24 89 85 67 36 14 6 28 43 59 5 95 55 84 59 96 28 77 93 46 33 83 17 40 54 43 14 64 19 55 37 78 73 43 29 52 39 8 80 46 91 38 18 66 21 63
18 25 517 63 5 45 80 44 51 74 10 14 92 64 13 29 93 88 53 35 16 56 19 6 63 50 51 5 39 23 5 16 37 19 20 33 98 15 83 24 76 96 67 39 9 47 31 48 99 65 63 36 20
19 25 632 68 85 23 73 76 66 47 32 33 83 50 4 15 100 18 98 94 45 89 84 5 36 67 52 86 31 66 92 11 55 8 83 30 25 81 13 57 15 62 60 82 13 29 79 35 74 75 76 58 80
