0 15 390 48 22 27 32 72 95 99 87 97 67 74 68 7 18 50 65 34 75 41 40 98 34 100 23 21 100 2 5 11 54
1 15 334 4 33 32 88 26 86 42 75 52 67 11 84 44 27 69 18 67 8 7 90 73 7 89 74 63 100 79 66 10 53
2 15 429 87 35 38 80 9 42 47 3 52 30 98 30 99 15 96 58 33 47 65 74 19 23 63 44 85 62 22 50 45 83
3 15 356 55 31 18 92 10 78 85 8 80 88 90 29 17 88 43 12 97 28 59 61 1 29 35 63 25 19 76 98 21 20
4 15 339 81 75 2 50 66 12 27 51 71 59 38 60 87 55 99 82 18 96 9 28 8 9 57 43 24 33 61 99 30 81
5 15 283 71 62 55 72 11 73 35 38 75 6 96 64 17 34 70 16 15 88 23 67 18 84 12 59 7 25 57 89 5 79
6 15 419 50 12 51 61 36 37 62 42 97 25 59 30 47 26 45 86 88 19 52 57 2 27 69 60 85 93 73 49 23 12
7 15 415 49 83 47 86 84 60 79 80 85 89 9 83 14 53 68 1 72 71 58 25 97 78 37 34 70 57 6 18 55 28
8 15 389 30 4 62 28 41 45 88 19 24 24 60 85 6 25 89 25 26 12 95 35 37 44 12 25 77 33 81 82 50 35
9 15 340 62 31 90 75 11 30 72 50 1 47 73 12 31 30 36 20 54 13 47 19 95 10 43 71 42 75 5 44 18 74
10 15 402 51 44 36 33 15 85 85 62 9 96 44 38 83 63 43 96 46 95 94 64 89 4 59 12 45 33 68 88 37 14
11 15 430 97 80 1 81 95 86 17 8 94 64 51 84 46 66 78 41 11 72 35 26 61 90 84 24 86 69 91 26 14 27
12 15 380 39 62 58 91 94 52 76 10 59 22 73 62 57 71 27 34 63 37 6 97 62 18 38 98 41 24 18 83 49 83
13 15 439 61 39 97 18 29 90 70 57 52 80 78 24 41 34 94 67 67 9 55 24 5 69 95 18 33 18 35 15 66 17
14 15 338 75 4 13 93 84 55 14 40 6 45 69 81 38 54 27 56 73 35 11 96 91 31 89 85 48 21 2 82 36 19
15 15 435 50 62 74 15 54 58 21 19 49 26 64 18 6 1 71 32 56 95 66 18 91 9 48 79 93 95 99 95 28 86
16 15 343 65 30 48 39 96 53 16 72 41 87 13 98 39 36 30 94 47 64 72 55 11 2 58 53 94 37 38 58 18 37
17 15 412 48 13 90 95 80 13 91 20 51 3 18 89 99 34 72 97 97 43 4 60 3 69 49 48 57 38 27 27 39 68
18 15 374 51 19 80 41 90 82 96 59 70 85 9 55 8 58 4 3 13 63 99 15 83 99 14 91 36 22 17 14 78 8
19 15 424 81 29 78 12 21 67 93 16 14 53 86 69 60 95 72 62 7 86 12 73 20 10 38 10 98 60 79 11 89 86
