0 40 1003 48 22 27 32 72 95 99 87 97 67 74 68 7 18 50 65 34 75 41 40 98 34 100 23 21 100 2 5 11 54 4 33 32 88 26 86 42 75 52 67 84 44 69 18 67 8 90 73 89 74 63 100 79 66 10 53 87 35 38 80 9 42 47 3 30 98 15 96 58 33 65 74 19 23 44 85 62 22 45 83
1 40 1017 55 31 18 92 10 78 85 8 80 88 90 29 17 88 43 12 97 28 59 61 1 29 35 63 25 19 76 98 21 20 81 75 2 50 66 12 27 51 71 59 38 60 87 55 99 82 96 9 28 8 9 57 24 33 61 99 30 81 62 55 72 11 73 35 75 6 64 17 34 70 16 15 88 11 23 67 84 75 12 59
2 40 974 7 25 57 89 5 79 50 12 51 61 36 37 62 42 97 25 59 30 47 26 45 86 88 19 52 57 2 27 69 60 85 93 73 49 23 12 49 83 86 84 60 79 80 85 89 9 83 14 53 68 1 72 71 58 25 97 78 37 34 70 6 18 55 28 30 4 28 41 19 24 24 60 26 12 95 35 37 44 12 25
3 40 1084 77 33 81 82 50 35 62 31 90 75 11 30 72 50 1 47 73 12 31 30 36 20 54 13 47 19 95 10 43 71 42 75 5 44 18 74 51 44 33 15 85 85 9 96 44 38 83 63 96 46 94 64 89 4 59 12 45 33 68 88 46 37 14 97 80 1 86 17 8 94 64 51 84 46 66 78 41 11 35 26
4 40 1081 61 90 84 24 86 69 91 26 14 27 39 62 58 91 94 52 76 10 59 22 73 62 57 71 27 34 63 37 6 97 62 18 38 98 41 24 18 83 49 83 97 18 29 90 70 57 52 80 78 24 34 94 67 67 9 55 24 5 69 41 95 18 33 18 35 15 66 17 75 4 13 93 55 14 40 6 45 69 81 38
5 40 1024 54 27 56 73 35 11 96 91 31 89 85 48 21 2 82 36 19 50 62 74 15 54 58 21 49 26 64 18 6 1 71 32 95 66 18 91 9 48 79 93 99 95 28 86 65 30 48 39 53 96 16 72 41 87 13 98 39 36 30 94 47 64 72 55 11 2 94 37 38 58 37 48 90 95 80 13 91 20 51 3
6 40 1154 18 89 90 99 34 72 97 97 43 4 60 97 3 69 49 48 57 38 27 27 39 68 51 19 80 41 82 96 59 70 85 9 55 8 58 4 13 63 99 15 83 99 14 91 36 22 17 14 78 8 81 29 12 21 67 93 16 78 53 86 69 60 95 72 62 7 86 12 73 20 10 38 98 60 79 11 89 86 92 69
7 40 956 63 55 90 81 48 57 10 61 61 48 81 21 42 52 34 49 89 46 21 8 7 59 70 4 67 58 85 10 79 99 64 68 11 76 41 24 37 88 4 57 29 8 77 96 39 50 56 46 60 25 1 81 72 67 38 56 76 68 6 40 35 84 2 11 99 63 33 7 92 40 20 87 69 42 84 80 18 36 3 50
8 40 1014 96 30 17 1 21 4 37 75 66 12 51 64 75 83 70 18 74 17 13 55 6 54 90 37 72 78 97 12 32 46 60 61 14 12 34 17 8 82 64 58 38 93 7 18 35 43 30 41 36 31 59 60 85 22 91 82 81 51 95 45 84 64 44 43 1 94 45 59 2 14 93 97 31 16 41 75 68 62 65 49
9 40 1135 95 67 96 39 3 59 34 45 55 93 97 48 88 41 59 42 51 38 50 36 85 32 69 72 29 36 33 45 79 64 32 69 66 90 62 44 44 34 2 27 57 4 64 6 92 49 89 46 60 75 4 45 71 40 23 86 94 65 56 40 99 25 73 52 52 30 15 87 98 15 28 44 35 87 70 39 31 40 30 54
10 40 1015 26 1 97 28 12 90 92 19 81 66 69 5 39 20 56 20 27 23 58 24 89 85 67 24 24 36 14 6 28 43 59 5 95 55 84 59 96 28 77 28 93 46 33 83 17 40 54 43 64 19 55 100 37 78 23 73 43 29 52 85 8 80 46 91 38 93 18 66 21 63 63 5 45 80 44 51 74 10 13 29
11 40 1064 93 88 53 35 16 56 19 6 63 50 51 5 39 44 23 5 37 19 20 33 98 15 83 24 76 96 67 39 9 47 31 48 99 65 6 36 68 85 73 76 66 47 32 33 50 4 15 100 18 98 94 45 89 84 5 36 52 86 92 18 86 11 55 8 30 25 81 13 57 15 62 60 82 13 29 79 35 74 75 76
12 40 1035 58 80 63 24 31 100 6 97 91 24 82 54 78 89 36 59 65 69 71 21 83 84 32 64 97 60 94 83 34 69 10 43 72 66 30 72 23 78 14 46 59 67 75 99 55 85 15 75 35 57 18 73 87 78 21 63 38 31 5 37 54 22 19 77 96 96 42 7 9 68 57 15 53 72 89 59 98 49 76 70
13 40 950 87 5 8 67 77 90 23 13 43 96 31 20 91 79 62 84 85 22 52 93 37 56 64 25 14 74 22 63 49 43 1 53 82 8 71 58 45 70 92 40 53 63 76 66 67 97 69 11 33 24 75 10 89 48 83 51 48 26 4 52 7 63 16 12 18 85 55 57 17 90 44 55 40 23 25 98 26 86 20 89
14 40 1079 72 45 92 75 3 55 96 18 18 65 55 72 21 95 40 10 66 83 17 6 74 91 5 50 41 30 87 27 54 7 67 77 11 51 6 17 98 75 34 62 81 57 76 96 93 30 12 98 57 94 84 43 90 1 39 66 4 49 69 61 50 32 68 6 65 95 53 12 75 36 29 38 22 74 91 94 63 43 80 46
