0 15 581 0 1 1 1 0 1 0 1 1 0 0 0 1 1 1
1 15 742 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1
2 15 519 0 1 1 0 0 0 0 1 1 1 1 0 1 1 1
3 15 636 0 1 1 0 1 0 1 0 0 1 1 1 1 1 1
4 15 600 0 1 0 1 1 1 0 0 1 1 0 1 1 1 1
5 15 708 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1
6 15 470 0 1 1 0 0 0 0 1 0 1 1 1 1 1 0
7 15 597 1 1 0 1 1 1 1 0 1 0 0 1 0 1 0
8 15 398 0 0 1 0 1 1 1 0 0 0 1 1 1 1 1
9 15 497 1 1 1 0 1 0 1 1 0 0 0 1 1 1 1
10 15 638 1 1 1 0 1 1 1 1 1 0 0 0 0 1 0
11 15 620 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1
12 15 681 1 1 0 0 0 1 1 1 0 1 0 1 0 1 1
13 15 469 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0
14 15 653 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0
15 15 571 1 0 1 0 0 0 1 0 1 0 0 1 1 1 1
16 15 618 0 0 0 1 1 1 0 1 1 1 0 1 0 1 1
17 15 604 1 1 0 0 0 1 0 1 0 1 1 1 1 1 1
18 15 577 0 1 1 0 1 1 1 1 1 0 1 1 0 0 0
19 15 611 0 0 1 0 1 1 1 1 1 1 1 1 0 0 1
