0 25 1030 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1
1 25 979 1 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0
2 25 938 0 1 1 1 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 1 1 1 0 0
3 25 1029 1 1 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 0 1 1
4 25 835 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1
5 25 850 1 1 1 0 0 1 1 0 1 1 0 1 0 1 0 0 0 0 1 1 1 1 1 0 1
6 25 1004 0 0 1 0 1 1 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 1 1 1
7 25 1124 1 1 0 0 0 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 0 1 1 1 0
8 25 864 1 0 1 1 0 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 0
9 25 1192 1 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 0
10 25 1159 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 0 0 0 1 0 1 1 0
11 25 997 0 0 0 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0
12 25 1046 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 1 0
13 25 1125 1 1 1 1 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1
14 25 1044 0 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1
15 25 910 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 0 0
16 25 1205 0 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1
17 25 1130 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1
18 25 1012 0 1 1 0 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0
19 25 1183 1 1 0 0 1 0 1 1 0 1 1 0 0 1 1 1 1 0 0 1 0 1 1 1 1
